Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name
Octane,HMDB0001485,C01387,True,Octane
"2,4-Difluorobenzene, 1-benzyloxy-",,,True,"2,4-Difluorobenzene, 1-benzyloxy-"
2-Decanone,HMDB0031409,,True,2-Decanone
1-Cyclohexyldimethylsilyloxyoctadecane,,,True,1-Cyclohexyldimethylsilyloxyoctadecane
"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane",,,True,"1,7-Di(3-ethylphenyl)-2,2,4,4,6,6-hexamethyl-1,3,5,7-tetraoxa-2,4,6-trisilaheptane"
"2,5-Dimethylpyrazine",HMDB0035289,,True,"2,5-Dimethylpyrazine"
4-Hydroxy-3-hexanone,,C02948,True,4-Hydroxy-3-hexanone
"Pentadecane, 2,6,10,14-tetramethyl-",HMDB0034497,,True,"Pentadecane, 2,6,10,14-tetramethyl-"
Heptacosane,HMDB0302068,,True,Heptacosane
Tetrahydropyran Z-10-dodecenoate,,,True,Tetrahydropyran Z-10-dodecenoate
166_unknown,,,True,166_unknown
Butyl 2-methylbutanoate,HMDB0039216,,True,Butyl 2-methylbutanoate
Terpinene,HMDB0005806,C09900,True,Terpinene
3-Pentanol,HMDB0303831,,True,3-Pentanol
"2-Hexene, 3,5,5-trimethyl-",HMDB0302638,,True,"2-Hexene, 3,5,5-trimethyl-"
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",,,True,"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-"
1037_unknown,,,True,1037_unknown
S-Methyl 3-methylbutanethioate,HMDB0039843,,True,S-Methyl 3-methylbutanethioate
"4-Octanone, 5-hydroxy-2,7-dimethyl-",,,True,"4-Octanone, 5-hydroxy-2,7-dimethyl-"
"Dichloroacetic acid, nonyl ester",,,True,"Dichloroacetic acid, nonyl ester"
1428_unknown,,,True,1428_unknown
"3,4-Hexanedione",HMDB0031492,,True,"3,4-Hexanedione"
384_unknown,,,True,384_unknown
"3(2H)-Thiophenone, dihydro-2-methyl-",HMDB0038556,,True,"3(2H)-Thiophenone, dihydro-2-methyl-"
"9-Octadecenoic acid, ethyl ester",HMDB0034451,,True,"9-Octadecenoic acid, ethyl ester"
"Butanoic acid, 3-methyl-, 3-methylbutyl ester",HMDB0030029,C12289,True,"Butanoic acid, 3-methyl-, 3-methylbutyl ester"
n-Hexane,HMDB0029600,C11271,True,n-Hexane
"Bicyclo[2.2.1]hept-2-ene, 2-[(2,4-dinitrophenyl)thio]-",,,True,"Bicyclo[2.2.1]hept-2-ene, 2-[(2,4-dinitrophenyl)thio]-"
Methanesulfonic anhydride,,,True,Methanesulfonic anhydride
"Acetic acid, hexyl ester",HMDB0029980,,True,"Acetic acid, hexyl ester"
"Pentanal, 2,4-dimethyl-",,,True,"Pentanal, 2,4-dimethyl-"
"Cyclohexene, 4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-, (3R-trans)-",,,True,"Cyclohexene, 4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-, (3R-trans)-"
"Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-",,,True,"Naphthalene, 1,2,3,5,6,7,8,8a-octahydro-1,8a-dimethyl-7-(1-methylethenyl)-"
"2-Heptanone, 5-methyl-",,,True,"2-Heptanone, 5-methyl-"
